Subj,Form,Target,Block,Trial,AnsTarg,Accuracy,AnsCat,AnsCatOrig,ParGroup,Age,Months,SSIQ,Gender
8,A,B,1,4,B,1,Noun,Noun,ASD,9.083333333,109,86.26952368,M
8,A,C,2,5,G,0,Noun,Noun,ASD,9.083333333,109,86.26952368,M
8,A,E,2,6,B,0,Noun,Noun,ASD,9.083333333,109,86.26952368,M
8,A,B,2,7,B,1,Noun,Noun,ASD,9.083333333,109,86.26952368,M
8,A,G,2,8,G,1,Noun,Noun,ASD,9.083333333,109,86.26952368,M
9,B,C,1,1,NA,0,Withdraw,Withdraw,ASD,9.083333333,109,83.10413306,M
9,B,E,1,2,NA,0,Withdraw,Withdraw,ASD,9.083333333,109,83.10413306,M
9,B,B,1,3,B,1,Others,Point,ASD,9.083333333,109,83.10413306,M
9,B,G,1,4,G,1,Others,Point,ASD,9.083333333,109,83.10413306,M
9,B,G,2,5,NA,0,Withdraw,Withdraw,ASD,9.083333333,109,83.10413306,M
9,B,B,2,6,B,1,Noun,Noun,ASD,9.083333333,109,83.10413306,M
9,B,E,2,7,NA,0,Withdraw,Withdraw,ASD,9.083333333,109,83.10413306,M
9,B,C,2,8,NA,0,Withdraw,Withdraw,ASD,9.083333333,109,83.10413306,M
10,C,G,1,1,G,1,Noun,Noun,ASD,7.666666667,92,95.81021448,M
10,C,B,1,2,B,1,Noun,Noun,ASD,7.666666667,92,95.81021448,M
10,C,E,1,3,E,1,Others,DemN,ASD,7.666666667,92,95.81021448,M
10,C,C,1,4,C,1,Personal Name,Personal Name,ASD,7.666666667,92,95.81021448,M
10,C,E,2,5,E,1,Kin Term,Kin Term,ASD,7.666666667,92,95.81021448,M
10,C,G,2,6,G,1,Noun,Noun,ASD,7.666666667,92,95.81021448,M
10,C,C,2,7,C,1,Personal Name,Personal Name,ASD,7.666666667,92,95.81021448,M
10,C,B,2,8,B,1,Noun,Noun,ASD,7.666666667,92,95.81021448,M
11,A,E,1,1,E,1,Kin + Name,Kin + Name,ASD,7.166666667,86,123.3216039,M
11,A,G,1,2,G,1,Noun,Noun,ASD,7.166666667,86,123.3216039,M
11,A,C,1,3,C,1,Personal Pronoun,Personal Pronoun,ASD,7.166666667,86,123.3216039,M
11,A,B,1,4,B,1,Noun,Noun,ASD,7.166666667,86,123.3216039,M
11,A,C,2,5,C,1,Personal Name,Personal Name,ASD,7.166666667,86,123.3216039,M
11,A,E,2,6,E,1,Kin + Name,Kin + Name,ASD,7.166666667,86,123.3216039,M
11,A,B,2,7,B,1,Noun,Noun,ASD,7.166666667,86,123.3216039,M
11,A,G,2,8,G,1,Noun,Noun,ASD,7.166666667,86,123.3216039,M
12,B,C,1,1,C,1,Personal Name,Personal Name,ASD,12.66666667,152,71.78809588,M
12,B,E,1,2,E,1,Kin Term,Kin Term,ASD,12.66666667,152,71.78809588,M
12,B,B,1,3,B,1,Kin Term,Kin Term,ASD,12.66666667,152,71.78809588,M
12,B,G,1,4,G,1,Kin Term,Kin Term,ASD,12.66666667,152,71.78809588,M
12,B,G,2,5,G,1,Kin Term,Kin Term,ASD,12.66666667,152,71.78809588,M
12,B,B,2,6,B,1,Noun,Noun,ASD,12.66666667,152,71.78809588,M
12,B,E,2,7,E,1,Kin Term,Kin Term,ASD,12.66666667,152,71.78809588,M
12,B,C,2,8,C,1,Personal Name,Personal Name,ASD,12.66666667,152,71.78809588,M
13,C,G,1,1,G,1,Noun,Noun,ASD,12.33333333,148,53.64651541,M
13,C,B,1,2,G,0,Noun,Noun,ASD,12.33333333,148,53.64651541,M
13,C,E,1,3,E,1,Kin + Name,Kin + Name,ASD,12.33333333,148,53.64651541,M
13,C,C,1,4,C,1,Personal Name,Personal Name,ASD,12.33333333,148,53.64651541,M
13,C,E,2,5,E,1,Kin + Name,Kin + Name,ASD,12.33333333,148,53.64651541,M
13,C,G,2,6,G,1,Noun,Noun,ASD,12.33333333,148,53.64651541,M
13,C,C,2,7,C,1,Personal Name,Personal Name,ASD,12.33333333,148,53.64651541,M
13,C,B,2,8,G,0,Noun,Noun,ASD,12.33333333,148,53.64651541,M
14,A,E,1,1,E,1,Occupational Title,Occupational Title,ASD,10.16666667,122,76.67839608,M
14,A,G,1,2,G,1,Noun,Noun,ASD,10.16666667,122,76.67839608,M
14,A,C,1,3,C,1,Personal Name,Personal Name,ASD,10.16666667,122,76.67839608,M
14,A,B,1,4,B,1,Noun,Noun,ASD,10.16666667,122,76.67839608,M
14,A,C,2,5,C,1,Personal Name,Personal Name,ASD,10.16666667,122,76.67839608,M
14,A,E,2,6,E,1,Occupational Title,Occupational Title,ASD,10.16666667,122,76.67839608,M
14,A,B,2,7,B,1,Noun,Noun,ASD,10.16666667,122,76.67839608,M
14,A,G,2,8,G,1,Noun,Noun,ASD,10.16666667,122,76.67839608,M
15,B,C,1,1,C,1,Personal Name,Personal Name,ASD,8.166666667,98,81.6020782,M
15,B,E,1,2,E,1,Occupational Title,Occupational Title,ASD,8.166666667,98,81.6020782,M
15,B,B,1,3,B,1,Noun,Noun,ASD,8.166666667,98,81.6020782,M
15,B,G,1,4,G,1,Noun,Noun,ASD,8.166666667,98,81.6020782,M
15,B,G,2,5,G,1,Noun,Noun,ASD,8.166666667,98,81.6020782,M
15,B,B,2,6,B,1,Noun,Noun,ASD,8.166666667,98,81.6020782,M
15,B,E,2,7,E,1,Kin + Name,Kin + Name,ASD,8.166666667,98,81.6020782,M
15,B,C,2,8,C,1,Personal Name,Personal Name,ASD,8.166666667,98,81.6020782,M
16,C,G,1,1,G,1,Noun,Noun,ASD,7.916666667,95,130.8062337,M
16,C,B,1,2,B,1,Noun,Noun,ASD,7.916666667,95,130.8062337,M
16,C,E,1,3,E,1,Kin + Name,Kin + Name,ASD,7.916666667,95,130.8062337,M
16,C,C,1,4,C,1,Personal Name,Personal Name,ASD,7.916666667,95,130.8062337,M
16,C,E,2,5,E,1,Kin + Name,Kin + Name,ASD,7.916666667,95,130.8062337,M
16,C,G,2,6,B,0,Noun,Noun,ASD,7.916666667,95,130.8062337,M
16,C,C,2,7,C,1,Personal Name,Personal Name,ASD,7.916666667,95,130.8062337,M
16,C,B,2,8,B,1,Noun,Noun,ASD,7.916666667,95,130.8062337,M
17,A,E,1,1,E,1,Occupational Title,Occupational Title,ASD,8.083333333,97,95.41778818,M
17,A,G,1,2,G,1,Noun,Noun,ASD,8.083333333,97,95.41778818,M
17,A,C,1,3,C,1,Personal Pronoun,Personal Pronoun,ASD,8.083333333,97,95.41778818,M
17,A,B,1,4,B,1,Noun,Noun,ASD,8.083333333,97,95.41778818,M
17,A,C,2,5,C,1,Personal Pronoun,Personal Pronoun,ASD,8.083333333,97,95.41778818,M
17,A,E,2,6,E,1,Kin + Name,Kin + Name,ASD,8.083333333,97,95.41778818,M
17,A,B,2,7,B,1,Noun,Noun,ASD,8.083333333,97,95.41778818,M
17,A,G,2,8,G,1,Noun,Noun,ASD,8.083333333,97,95.41778818,M
18,B,C,1,1,C,1,Personal Name,Personal Name,ASD,8.5,102,81.6020782,M
18,B,E,1,2,E,1,Kin + Name,Kin + Name,ASD,8.5,102,81.6020782,M
18,B,B,1,3,B,1,Noun,Noun,ASD,8.5,102,81.6020782,M
18,B,G,1,4,G,1,Noun,Noun,ASD,8.5,102,81.6020782,M
18,B,G,2,5,G,1,Noun,Noun,ASD,8.5,102,81.6020782,M
18,B,B,2,6,B,1,Noun,Noun,ASD,8.5,102,81.6020782,M
18,B,E,2,7,E,1,Occu + Name,Occu + Name,ASD,8.5,102,81.6020782,M
18,B,C,2,8,C,1,Personal Name,Personal Name,ASD,8.5,102,81.6020782,M
19,C,G,1,1,G,1,Noun,Noun,ASD,12.83333333,154,53.64651541,M
19,C,B,1,2,B,1,Noun,Noun,ASD,12.83333333,154,53.64651541,M
19,C,E,1,3,E,1,Noun,Noun,ASD,12.83333333,154,53.64651541,M
19,C,C,1,4,C,1,Personal Name,Personal Name,ASD,12.83333333,154,53.64651541,M
19,C,E,2,5,E,1,Occu + Name,Occu + Name,ASD,12.83333333,154,53.64651541,M
19,C,G,2,6,G,1,Noun,Noun,ASD,12.83333333,154,53.64651541,M
19,C,C,2,7,C,1,Personal Name,Personal Name,ASD,12.83333333,154,53.64651541,M
19,C,B,2,8,B,1,Noun,Noun,ASD,12.83333333,154,53.64651541,M
20,B,C,1,1,C,1,Personal Pronoun,Personal Pronoun,TD,7,84,130.8062337,F
20,B,E,1,2,E,1,Occupational Title,Occupational Title,TD,7,84,130.8062337,F
20,B,B,1,3,B,1,Noun,DemN,TD,7,84,130.8062337,F
20,B,G,1,4,G,1,Noun,Noun,TD,7,84,130.8062337,F
20,B,G,2,5,G,1,Noun,Noun,TD,7,84,130.8062337,F
20,B,B,2,6,B,1,Noun,Noun,TD,7,84,130.8062337,F
20,B,E,2,7,E,1,Kin Term,Kin Term,TD,7,84,130.8062337,F
20,B,C,2,8,C,1,Personal Pronoun,Personal Pronoun,TD,7,84,130.8062337,F
21,A,E,1,1,E,1,Occupational Title,Occupational Title,TD,7.083333333,85,118.3979218,M
21,A,G,1,2,G,1,Noun,Noun,TD,7.083333333,85,118.3979218,M
21,A,C,1,3,C,1,Personal Pronoun,Personal Pronoun,TD,7.083333333,85,118.3979218,M
21,A,B,1,4,B,1,Noun,Noun,TD,7.083333333,85,118.3979218,M
21,A,C,2,5,C,1,Personal Pronoun,Personal Pronoun,TD,7.083333333,85,118.3979218,M
21,A,E,2,6,E,1,Kin Term,Kin Term,TD,7.083333333,85,118.3979218,M
21,A,B,2,7,B,1,Noun,Noun,TD,7.083333333,85,118.3979218,M
21,A,G,2,8,G,1,Noun,Noun,TD,7.083333333,85,118.3979218,M
22,B,C,1,1,UK,0,Kin Term,Kin Term,ASD,7.416666667,89,98.87095207,M
22,B,E,1,2,UK,0,Personal Name,Personal Name,ASD,7.416666667,89,98.87095207,M
22,B,B,1,3,UK,0,Noun,Noun,ASD,7.416666667,89,98.87095207,M
22,B,G,1,4,C,0,Kin + Name,Kin + Name,ASD,7.416666667,89,98.87095207,M
22,B,G,2,5,UK,0,Noun,Noun,ASD,7.416666667,89,98.87095207,M
22,B,B,2,6,UK,0,Noun,Noun,ASD,7.416666667,89,98.87095207,M
22,B,E,2,7,UK,0,Noun,Noun,ASD,7.416666667,89,98.87095207,M
22,B,C,2,8,UK,0,Noun,Noun,ASD,7.416666667,89,98.87095207,M
23,C,G,1,1,G,1,Noun,Noun,ASD,10.16666667,122,96.19979345,M
23,C,B,1,2,B,1,Noun,Noun,ASD,10.16666667,122,96.19979345,M
23,C,E,1,3,E,1,Kin Term,Kin Term,ASD,10.16666667,122,96.19979345,M
23,C,C,1,4,C,1,Personal Name,Personal Name,ASD,10.16666667,122,96.19979345,M
23,C,E,2,5,E,1,Kin + Name,Kin + Name,ASD,10.16666667,122,96.19979345,M
23,C,G,2,6,G,1,Kin + Noun,Kin + Noun,ASD,10.16666667,122,96.19979345,M
23,C,C,2,7,C,1,Personal Name,Personal Name,ASD,10.16666667,122,96.19979345,M
23,C,B,2,8,B,1,Kin + Noun,Kin + Noun,ASD,10.16666667,122,96.19979345,M
24,B,C,1,1,C,1,Personal Pronoun,Personal Pronoun,ASD,11.83333333,142,106.5986975,F
24,B,E,1,2,E,1,Occupational Title,Occupational Title,ASD,11.83333333,142,106.5986975,F
24,B,B,1,3,B,1,Personal Pronoun,Personal Pronoun,ASD,11.83333333,142,106.5986975,F
24,B,G,1,4,B,0,Noun,Noun,ASD,11.83333333,142,106.5986975,F
24,B,G,2,5,G,1,Noun,Noun,ASD,11.83333333,142,106.5986975,F
24,B,B,2,6,B,1,Noun,Noun,ASD,11.83333333,142,106.5986975,F
24,B,E,2,7,E,1,Occupational Title,Occupational Title,ASD,11.83333333,142,106.5986975,F
24,B,C,2,8,C,1,Personal Pronoun,Personal Pronoun,ASD,11.83333333,142,106.5986975,F
25,B,C,1,1,C,1,Personal Pronoun,Personal Pronoun,ASD,10.91666667,131,155.7852473,M
25,B,E,1,2,E,1,Kin Term,Kin Term,ASD,10.91666667,131,155.7852473,M
25,B,B,1,3,B,1,Personal Pronoun,Personal Pronoun,ASD,10.91666667,131,155.7852473,M
25,B,G,1,4,G,1,Personal Pronoun,Personal Pronoun,ASD,10.91666667,131,155.7852473,M
25,B,G,2,5,G,1,Personal Pronoun,Personal Pronoun,ASD,10.91666667,131,155.7852473,M
25,B,B,2,6,B,1,Personal Pronoun,Personal Pronoun,ASD,10.91666667,131,155.7852473,M
25,B,E,2,7,E,1,Kin Term,Kin Term,ASD,10.91666667,131,155.7852473,M
25,B,C,2,8,C,1,Personal Pronoun,Personal Pronoun,ASD,10.91666667,131,155.7852473,M
26,C,G,1,1,G,1,Noun,Noun,ASD,11.66666667,140,63.86626681,M
26,C,B,1,2,B,1,Noun,DemN,ASD,11.66666667,140,63.86626681,M
26,C,E,1,3,E,1,Kin Term,Kin Term,ASD,11.66666667,140,63.86626681,M
26,C,C,1,4,C,1,Personal Pronoun,Personal Pronoun,ASD,11.66666667,140,63.86626681,M
26,C,E,2,5,E,1,Kin Term,Kin Term,ASD,11.66666667,140,63.86626681,M
26,C,G,2,6,G,1,Noun,Noun,ASD,11.66666667,140,63.86626681,M
26,C,C,2,7,C,1,Personal Pronoun,Personal Pronoun,ASD,11.66666667,140,63.86626681,M
26,C,B,2,8,B,1,Noun,DemN,ASD,11.66666667,140,63.86626681,M
27,A,E,1,1,E,1,Kin + Name,Kin + Name,ASD,10.83333333,130,109.1921949,M
27,A,G,1,2,G,1,Noun,Noun,ASD,10.83333333,130,109.1921949,M
27,A,C,1,3,C,1,Personal Pronoun,Personal Pronoun,ASD,10.83333333,130,109.1921949,M
27,A,B,1,4,B,1,Noun,Noun,ASD,10.83333333,130,109.1921949,M
27,A,C,2,5,C,1,Personal Pronoun,Personal Pronoun,ASD,10.83333333,130,109.1921949,M
27,A,E,2,6,E,1,Kin + Name,Kin + Name,ASD,10.83333333,130,109.1921949,M
27,A,B,2,7,B,1,Noun,Noun,ASD,10.83333333,130,109.1921949,M
27,A,G,2,8,G,1,Noun,Noun,ASD,10.83333333,130,109.1921949,M
28,B,C,1,1,C,1,Reflexive Pronoun,Reflexive Pronoun,ASD,12.41666667,149,96.97159781,M
28,B,E,1,2,E,1,Kin Term,Kin Term,ASD,12.41666667,149,96.97159781,M
28,B,B,1,3,B,1,Noun,Noun,ASD,12.41666667,149,96.97159781,M
28,B,G,1,4,G,1,Noun,Noun,ASD,12.41666667,149,96.97159781,M
28,B,G,2,5,G,1,Noun,Noun,ASD,12.41666667,149,96.97159781,M
28,B,B,2,6,B,1,Noun,Noun,ASD,12.41666667,149,96.97159781,M
28,B,E,2,7,E,1,Kin Term,Kin Term,ASD,12.41666667,149,96.97159781,M
28,B,C,2,8,C,1,Personal Pronoun,Personal Pronoun,ASD,12.41666667,149,96.97159781,M
29,A,E,1,1,E,1,Occupational Title,Occupational Title,ASD,13,156,104.5822118,M
29,A,G,1,2,G,1,Noun,Noun,ASD,13,156,104.5822118,M
29,A,C,1,3,C,1,Personal Pronoun,Personal Pronoun,ASD,13,156,104.5822118,M
29,A,B,1,4,B,1,Noun,Noun,ASD,13,156,104.5822118,M
29,A,C,2,5,C,1,Personal Pronoun,Personal Pronoun,ASD,13,156,104.5822118,M
29,A,E,2,6,E,1,Occupational Title,Occupational Title,ASD,13,156,104.5822118,M
29,A,B,2,7,B,1,Noun,Noun,ASD,13,156,104.5822118,M
29,A,G,2,8,G,1,Noun,Noun,ASD,13,156,104.5822118,M
30,B,C,1,1,C,1,Personal Pronoun,Personal Pronoun,ASD,12.33333333,148,119.2232735,M
30,B,E,1,2,E,1,Occupational Title,Occupational Title,ASD,12.33333333,148,119.2232735,M
30,B,B,1,3,B,1,Noun,Noun,ASD,12.33333333,148,119.2232735,M
30,B,G,1,4,G,1,Noun,Noun,ASD,12.33333333,148,119.2232735,M
30,B,G,2,5,G,1,Noun,Noun,ASD,12.33333333,148,119.2232735,M
30,B,B,2,6,B,1,Noun,Noun,ASD,12.33333333,148,119.2232735,M
30,B,E,2,7,E,1,Kin + Name,Kin + Name,ASD,12.33333333,148,119.2232735,M
30,B,C,2,8,C,1,Personal Pronoun,Personal Pronoun,ASD,12.33333333,148,119.2232735,M
31,B,C,1,1,C,1,Personal Name,Personal Name,ASD,9.916666667,119,88.91729726,M
31,B,E,1,2,E,1,Occupational Title,Occupational Title,ASD,9.916666667,119,88.91729726,M
31,B,B,1,3,B,1,Kin Term,Kin Term,ASD,9.916666667,119,88.91729726,M
31,B,G,1,4,G,1,Noun,Noun,ASD,9.916666667,119,88.91729726,M
31,B,G,2,5,G,1,Noun,Noun,ASD,9.916666667,119,88.91729726,M
31,B,B,2,6,B,1,Noun,Noun,ASD,9.916666667,119,88.91729726,M
31,B,E,2,7,E,1,Kin + Name,Kin + Name,ASD,9.916666667,119,88.91729726,M
31,B,C,2,8,C,1,Personal Pronoun,Personal Pronoun,ASD,9.916666667,119,88.91729726,M
32,B,C,1,1,C,1,Personal Pronoun,Personal Pronoun,ASD,10,120,123.3216039,M
32,B,E,1,2,E,1,Kin + Name,Kin + Name,ASD,10,120,123.3216039,M
32,B,B,1,3,B,1,Noun,Noun,ASD,10,120,123.3216039,M
32,B,G,1,4,G,1,Noun,Noun,ASD,10,120,123.3216039,M
32,B,G,2,5,G,1,Noun,Noun,ASD,10,120,123.3216039,M
32,B,B,2,6,B,1,Noun,Noun,ASD,10,120,123.3216039,M
32,B,E,2,7,E,1,Kin + Name,Kin + Name,ASD,10,120,123.3216039,M
32,B,C,2,8,C,1,Personal Pronoun,Personal Pronoun,ASD,10,120,123.3216039,M
33,B,C,1,1,C,1,Personal Pronoun,Personal Pronoun,ASD,10.33333333,124,91.69922921,M
33,B,E,1,2,E,1,Occupational Title,Occupational Title,ASD,10.33333333,124,91.69922921,M
33,B,B,1,3,B,1,Noun,Noun,ASD,10.33333333,124,91.69922921,M
33,B,G,1,4,G,1,Noun,Noun,ASD,10.33333333,124,91.69922921,M
33,B,G,2,5,G,1,Noun,Noun,ASD,10.33333333,124,91.69922921,M
33,B,B,2,6,B,1,Noun,Noun,ASD,10.33333333,124,91.69922921,M
33,B,E,2,7,E,1,Kin + Name,Kin + Name,ASD,10.33333333,124,91.69922921,M
33,B,C,2,8,C,1,Personal Pronoun,Personal Pronoun,ASD,10.33333333,124,91.69922921,M
34,B,C,1,1,C,1,Personal Name,Personal Name,ASD,10,120,107.4377552,F
34,B,E,1,2,E,1,Occupational Title,Occupational Title,ASD,10,120,107.4377552,F
34,B,B,1,3,B,1,Noun,Noun,ASD,10,120,107.4377552,F
34,B,G,1,4,G,1,Noun,Noun,ASD,10,120,107.4377552,F
34,B,G,2,5,G,1,Noun,Noun,ASD,10,120,107.4377552,F
34,B,B,2,6,B,1,Noun,Noun,ASD,10,120,107.4377552,F
34,B,E,2,7,E,1,Occupational Title,Occupational Title,ASD,10,120,107.4377552,F
34,B,C,2,8,C,1,Personal Name,Personal Name,ASD,10,120,107.4377552,F
35,C,G,1,1,G,1,Noun,Noun,ASD,10.83333333,130,94.220193,M
35,C,B,1,2,B,1,Noun,Noun,ASD,10.83333333,130,94.220193,M
35,C,E,1,3,E,1,Occupational Title,Occupational Title,ASD,10.83333333,130,94.220193,M
35,C,C,1,4,C,1,Personal Pronoun,Personal Pronoun,ASD,10.83333333,130,94.220193,M
35,C,E,2,5,E,1,Occupational Title,Occupational Title,ASD,10.83333333,130,94.220193,M
35,C,G,2,6,G,1,Noun,Noun,ASD,10.83333333,130,94.220193,M
35,C,C,2,7,C,1,Personal Pronoun,Personal Pronoun,ASD,10.83333333,130,94.220193,M
35,C,B,2,8,B,1,Noun,Noun,ASD,10.83333333,130,94.220193,M
38,A,E,1,1,E,1,Occupational Title,Occupational Title,TD,7.916666667,95,128.2119041,M
38,A,G,1,2,G,1,Noun,Noun,TD,7.916666667,95,128.2119041,M
38,A,C,1,3,C,1,Personal Pronoun,Personal Pronoun,TD,7.916666667,95,128.2119041,M
38,A,B,1,4,B,1,Noun,Noun,TD,7.916666667,95,128.2119041,M
38,A,C,2,5,C,1,Personal Pronoun,Personal Pronoun,TD,7.916666667,95,128.2119041,M
38,A,E,2,6,E,1,Kin Term,Kin Term,TD,7.916666667,95,128.2119041,M
38,A,B,2,7,B,1,Noun,Noun,TD,7.916666667,95,128.2119041,M
38,A,G,2,8,G,1,Noun,Noun,TD,7.916666667,95,128.2119041,M
39,C,G,1,1,G,1,Noun,Noun,TD,8.583333333,103,123.3216039,M
39,C,B,1,2,B,1,Noun,Noun,TD,8.583333333,103,123.3216039,M
39,C,E,1,3,E,1,Occupational Title,Occupational Title,TD,8.583333333,103,123.3216039,M
39,C,C,1,4,C,1,Personal Pronoun,Personal Pronoun,TD,8.583333333,103,123.3216039,M
39,C,E,2,5,E,1,Kin + Name,Kin + Name,TD,8.583333333,103,123.3216039,M
39,C,G,2,6,G,1,Noun,Noun,TD,8.583333333,103,123.3216039,M
39,C,C,2,7,C,1,Personal Pronoun,Personal Pronoun,TD,8.583333333,103,123.3216039,M
39,C,B,2,8,B,1,Noun,Noun,TD,8.583333333,103,123.3216039,M
40,C,G,1,1,G,1,Noun,Noun,TD,8.666666667,104,87.3756815,M
40,C,B,1,2,B,1,Noun,Noun,TD,8.666666667,104,87.3756815,M
40,C,E,1,3,E,1,Occupational Title,Occupational Title,TD,8.666666667,104,87.3756815,M
40,C,C,1,4,C,1,Personal Pronoun,Personal Pronoun,TD,8.666666667,104,87.3756815,M
40,C,E,2,5,E,1,Kin Term,Kin Term,TD,8.666666667,104,87.3756815,M
40,C,G,2,6,G,1,Noun,Noun,TD,8.666666667,104,87.3756815,M
40,C,C,2,7,C,1,Personal Pronoun,Personal Pronoun,TD,8.666666667,104,87.3756815,M
40,C,B,2,8,B,1,Noun,Noun,TD,8.666666667,104,87.3756815,M
41,B,C,1,1,C,1,Personal Pronoun,Personal Pronoun,TD,8.75,105,155.7852473,M
41,B,E,1,2,E,1,Occupational Title,Occupational Title,TD,8.75,105,155.7852473,M
41,B,B,1,3,B,1,Personal Pronoun,Personal Pronoun,TD,8.75,105,155.7852473,M
41,B,G,1,4,G,1,Personal Pronoun,Personal Pronoun,TD,8.75,105,155.7852473,M
41,B,G,2,5,G,1,Personal Pronoun,Personal Pronoun,TD,8.75,105,155.7852473,M
41,B,B,2,6,B,1,Personal Pronoun,Personal Pronoun,TD,8.75,105,155.7852473,M
41,B,E,2,7,E,1,Kin + Name,Kin + Name,TD,8.75,105,155.7852473,M
41,B,C,2,8,C,1,Personal Pronoun,Personal Pronoun,TD,8.75,105,155.7852473,M
42,C,G,1,1,G,1,Noun,Noun,TD,9.083333333,109,155.7852473,M
42,C,B,1,2,B,1,Noun,Noun,TD,9.083333333,109,155.7852473,M
42,C,E,1,3,E,1,Occupational Title,Occupational Title,TD,9.083333333,109,155.7852473,M
42,C,C,1,4,C,1,Personal Pronoun,Personal Pronoun,TD,9.083333333,109,155.7852473,M
42,C,E,2,5,E,1,Kin + Name,Kin + Name,TD,9.083333333,109,155.7852473,M
42,C,G,2,6,G,1,Noun,Noun,TD,9.083333333,109,155.7852473,M
