Subj,Form,Target,Block,Trial,Accuracy,NewAcc,AnsCat,ParGroup,Grade,Months,IQ,Handedness,Gender
13,C,C,1,3,1,1,Personal pronouns,ASD,4,114,45,R,M
13,C,G,1,4,1,1,Nouns,ASD,4,114,45,R,M
13,C,M,1,5,1,1,Nouns,ASD,4,114,45,R,M
13,C,E,2,1,1,1,Kin terms,ASD,4,114,45,R,M
13,C,G,2,2,1,1,Nouns,ASD,4,114,45,R,M
13,C,M,2,3,1,1,Nouns,ASD,4,114,45,R,M
13,C,C,2,4,1,1,Personal pronouns,ASD,4,114,45,R,M
13,C,B,2,5,1,1,Nouns,ASD,4,114,45,R,M
14,A,E,1,1,1,1,Kin terms,ASD,4,136,23,R,M
14,A,G,1,2,1,1,Kin terms,ASD,4,136,23,R,M
14,A,M,1,3,1,1,Nouns,ASD,4,136,23,R,M
14,A,C,1,4,1,1,Personal names,ASD,4,136,23,R,M
14,A,B,1,5,1,1,Occupational titles,ASD,4,136,23,R,M
14,A,C,2,1,1,1,Personal names,ASD,4,136,23,R,M
14,A,M,2,2,1,1,Nouns,ASD,4,136,23,R,M
14,A,E,2,3,1,1,Kin terms,ASD,4,136,23,R,M
14,A,B,2,4,1,1,Occupational titles,ASD,4,136,23,R,M
14,A,G,2,5,1,1,Occupational titles,ASD,4,136,23,R,M
15,B,C,1,1,0,0,Others,ASD,4,132,14,R,M
15,B,M,1,2,1,1,Nouns,ASD,4,132,14,R,M
15,B,E,1,3,0,0,Others,ASD,4,132,14,R,M
15,B,B,1,4,1,1,Nouns,ASD,4,132,14,R,M
15,B,G,1,5,1,1,Nouns,ASD,4,132,14,R,M
15,B,B,2,1,1,1,Nouns,ASD,4,132,14,R,M
15,B,E,2,2,0,0,Nouns,ASD,4,132,14,R,M
15,B,C,2,3,0,0,Nouns,ASD,4,132,14,R,M
15,B,G,2,4,1,1,Nouns,ASD,4,132,14,R,M
15,B,M,2,5,1,1,Nouns,ASD,4,132,14,R,M
16,C,B,1,1,1,1,Nouns,ASD,4,115,52,R,M
16,C,E,1,2,1,1,Occu,ASD,4,115,52,R,M
16,C,C,1,3,1,1,Personal pronouns,ASD,4,115,52,R,M
16,C,G,1,4,1,1,Nouns,ASD,4,115,52,R,M
16,C,M,1,5,1,1,Nouns,ASD,4,115,52,R,M
16,C,E,2,1,1,1,Occu,ASD,4,115,52,R,M
16,C,G,2,2,1,1,Nouns,ASD,4,115,52,R,M
16,C,M,2,3,1,1,Nouns,ASD,4,115,52,R,M
16,C,C,2,4,1,1,Personal pronouns,ASD,4,115,52,R,M
16,C,B,2,5,1,1,Nouns,ASD,4,115,52,R,M
17,B,C,1,1,1,1,Personal names,ASD,4,126,42,R,F
17,B,M,1,2,1,1,Nouns,ASD,4,126,42,R,F
17,B,E,1,3,1,1,Occu,ASD,4,126,42,R,F
17,B,B,1,4,1,1,Nouns,ASD,4,126,42,R,F
17,B,G,1,5,1,1,Nouns,ASD,4,126,42,R,F
17,B,B,2,1,1,1,Nouns,ASD,4,126,42,R,F
17,B,E,2,2,1,1,Occu,ASD,4,126,42,R,F
17,B,C,2,3,1,1,Personal names,ASD,4,126,42,R,F
17,B,G,2,4,1,1,Nouns,ASD,4,126,42,R,F
17,B,M,2,5,1,1,Nouns,ASD,4,126,42,R,F
18,A,E,1,1,1,1,Kin terms,ASD,4,124,22,R,M
18,A,G,1,2,1,1,Kin terms,ASD,4,124,22,R,M
18,A,M,1,3,1,1,Nouns,ASD,4,124,22,R,M
18,A,C,1,4,1,1,Personal names,ASD,4,124,22,R,M
18,A,B,1,5,0,0,Kin terms,ASD,4,124,22,R,M
18,A,C,2,1,1,1,Personal names,ASD,4,124,22,R,M
18,A,M,2,2,1,1,Nouns,ASD,4,124,22,R,M
18,A,E,2,3,1,1,Occu,ASD,4,124,22,R,M
18,A,B,2,4,1,1,Kin terms,ASD,4,124,22,R,M
18,A,G,2,5,1,1,Kin terms,ASD,4,124,22,R,M
19,B,C,1,1,1,1,Personal pronouns,ASD,5,133,41,R,M
19,B,M,1,2,0,0,Nouns,ASD,5,133,41,R,M
19,B,E,1,3,1,1,Occu,ASD,5,133,41,R,M
19,B,B,1,4,1,1,Nouns,ASD,5,133,41,R,M
19,B,G,1,5,1,1,Nouns,ASD,5,133,41,R,M
19,B,B,2,1,1,1,Nouns,ASD,5,133,41,R,M
19,B,E,2,2,1,1,Kin terms,ASD,5,133,41,R,M
19,B,C,2,3,1,1,Personal names,ASD,5,133,41,R,M
19,B,G,2,4,1,1,Nouns,ASD,5,133,41,R,M
19,B,M,2,5,1,1,Nouns,ASD,5,133,41,R,M
20,C,B,1,1,1,1,Nouns,ASD,6,145,36,R,M
20,C,E,1,2,1,1,Occu,ASD,6,145,36,R,M
20,C,C,1,3,1,1,Personal names,ASD,6,145,36,R,M
20,C,G,1,4,1,1,Nouns,ASD,6,145,36,R,M
20,C,M,1,5,1,1,Nouns,ASD,6,145,36,R,M
20,C,E,2,1,1,1,Kin terms,ASD,6,145,36,R,M
20,C,G,2,2,1,1,Nouns,ASD,6,145,36,R,M
20,C,M,2,3,1,1,Nouns,ASD,6,145,36,R,M
20,C,C,2,4,1,1,Personal names,ASD,6,145,36,R,M
20,C,B,2,5,1,1,Nouns,ASD,6,145,36,R,M
21,C,B,1,1,1,1,Nouns,ASD,6,144,50,R,F
21,C,E,1,2,1,1,Kin terms,ASD,6,144,50,R,F
21,C,C,1,3,1,1,Personal pronouns,ASD,6,144,50,R,F
21,C,G,1,4,1,1,Nouns,ASD,6,144,50,R,F
21,C,M,1,5,1,1,Nouns,ASD,6,144,50,R,F
21,C,E,2,1,1,1,Kin terms,ASD,6,144,50,R,F
21,C,G,2,2,1,1,Nouns,ASD,6,144,50,R,F
21,C,M,2,3,1,1,Nouns,ASD,6,144,50,R,F
21,C,C,2,4,1,1,Personal pronouns,ASD,6,144,50,R,F
21,C,B,2,5,1,1,Nouns,ASD,6,144,50,R,F
22,A,E,1,1,1,1,Kin terms,ASD,6,141,45,R,F
22,A,G,1,2,1,1,Nouns,ASD,6,141,45,R,F
22,A,M,1,3,1,1,Nouns,ASD,6,141,45,R,F
22,A,C,1,4,1,1,Personal pronouns,ASD,6,141,45,R,F
22,A,B,1,5,1,1,Nouns,ASD,6,141,45,R,F
22,A,C,2,1,1,1,Personal pronouns,ASD,6,141,45,R,F
22,A,M,2,2,1,1,Nouns,ASD,6,141,45,R,F
22,A,E,2,3,1,1,Kin terms,ASD,6,141,45,R,F
22,A,B,2,4,1,1,Nouns,ASD,6,141,45,R,F
22,A,G,2,5,1,1,Nouns,ASD,6,141,45,R,F
23,A,E,1,1,1,1,Occu,ASD,6,146,40,R,M
23,A,G,1,2,1,1,Nouns,ASD,6,146,40,R,M
23,A,M,1,3,1,1,Nouns,ASD,6,146,40,R,M
23,A,C,1,4,1,1,Personal pronouns,ASD,6,146,40,R,M
23,A,B,1,5,1,1,Occupational titles,ASD,6,146,40,R,M
23,A,C,2,1,1,1,Personal pronouns,ASD,6,146,40,R,M
23,A,M,2,2,1,1,Nouns,ASD,6,146,40,R,M
23,A,E,2,3,1,1,Occu,ASD,6,146,40,R,M
23,A,B,2,4,1,1,Occupational titles,ASD,6,146,40,R,M
23,A,G,2,5,1,1,Nouns,ASD,6,146,40,R,M
24,B,C,1,1,0,W,W,ASD,6,142,53,R,M
24,B,M,1,2,1,1,Nouns,ASD,6,142,53,R,M
24,B,E,1,3,0,W,W,ASD,6,142,53,R,M
24,B,B,1,4,1,1,Nouns,ASD,6,142,53,R,M
24,B,G,1,5,1,1,Nouns,ASD,6,142,53,R,M
24,B,B,2,1,1,1,Nouns,ASD,6,142,53,R,M
24,B,E,2,2,0,W,W,ASD,6,142,53,R,M
24,B,C,2,3,0,W,W,ASD,6,142,53,R,M
24,B,G,2,4,1,1,Nouns,ASD,6,142,53,R,M
24,B,M,2,5,1,1,Nouns,ASD,6,142,53,R,M
25,C,B,1,1,1,1,Nouns,ASD,6,145,37,R,M
25,C,E,1,2,1,1,Occu,ASD,6,145,37,R,M
25,C,C,1,3,1,1,Personal names,ASD,6,145,37,R,M
25,C,G,1,4,1,1,Nouns,ASD,6,145,37,R,M
25,C,M,1,5,1,1,Nouns,ASD,6,145,37,R,M
25,C,E,2,1,1,1,Occu,ASD,6,145,37,R,M
25,C,G,2,2,1,1,Nouns,ASD,6,145,37,R,M
25,C,M,2,3,1,1,Nouns,ASD,6,145,37,R,M
25,C,C,2,4,1,1,Personal names,ASD,6,145,37,R,M
25,C,B,2,5,1,1,Nouns,ASD,6,145,37,R,M
27,B,C,1,1,1,1,Personal names,ASD,1,91,34,R,M
27,B,M,1,2,1,1,Nouns,ASD,1,91,34,R,M
27,B,E,1,3,1,1,Kin terms,ASD,1,91,34,R,M
27,B,B,1,4,1,1,Kin terms,ASD,1,91,34,R,M
27,B,G,1,5,1,1,Nouns,ASD,1,91,34,R,M
27,B,B,2,1,1,1,Kin terms,ASD,1,91,34,R,M
27,B,E,2,2,1,1,Kin terms,ASD,1,91,34,R,M
27,B,C,2,3,1,1,Personal names,ASD,1,91,34,R,M
27,B,G,2,4,1,1,Nouns,ASD,1,91,34,R,M
27,B,M,2,5,1,1,Nouns,ASD,1,91,34,R,M
30,C,B,1,1,1,1,Nouns,ASD,3,135,14,R,F
30,C,E,1,2,1,1,Occu,ASD,3,135,14,R,F
30,C,C,1,3,1,1,Kin + Name,ASD,3,135,14,R,F
30,C,G,1,4,1,1,Nouns,ASD,3,135,14,R,F
30,C,M,1,5,1,1,Nouns,ASD,3,135,14,R,F
30,C,E,2,1,1,1,Occu,ASD,3,135,14,R,F
30,C,G,2,2,1,1,Nouns,ASD,3,135,14,R,F
30,C,M,2,3,1,1,Nouns,ASD,3,135,14,R,F
30,C,C,2,4,1,1,Kin + Name,ASD,3,135,14,R,F
30,C,B,2,5,1,1,Nouns,ASD,3,135,14,R,F
31,A,E,1,1,1,1,Occu,ASD,5,120,49,L,M
31,A,G,1,2,1,1,Nouns,ASD,5,120,49,L,M
31,A,M,1,3,1,1,Nouns,ASD,5,120,49,L,M
31,A,C,1,4,1,1,Reflexive pronouns,ASD,5,120,49,L,M
31,A,B,1,5,1,1,Nouns,ASD,5,120,49,L,M
31,A,C,2,1,1,1,Reflexive pronouns,ASD,5,120,49,L,M
31,A,M,2,2,1,1,Nouns,ASD,5,120,49,L,M
31,A,E,2,3,1,1,Occu,ASD,5,120,49,L,M
31,A,B,2,4,1,1,Nouns,ASD,5,120,49,L,M
31,A,G,2,5,1,1,Nouns,ASD,5,120,49,L,M
33,B,C,1,1,1,1,Personal names,ASD,5,140,41,R,M
33,B,M,1,2,1,1,Nouns,ASD,5,140,41,R,M
33,B,E,1,3,1,1,Occu,ASD,5,140,41,R,M
33,B,B,1,4,1,1,Nouns,ASD,5,140,41,R,M
33,B,G,1,5,1,1,Nouns,ASD,5,140,41,R,M
33,B,B,2,1,1,1,Nouns,ASD,5,140,41,R,M
33,B,E,2,2,1,1,Occu,ASD,5,140,41,R,M
33,B,C,2,3,1,1,Personal pronouns,ASD,5,140,41,R,M
33,B,G,2,4,1,1,Nouns,ASD,5,140,41,R,M
33,B,M,2,5,1,1,Nouns,ASD,5,140,41,R,M
34,C,B,1,1,0,0,Kin terms,TD,1,77,12,R,M
34,C,E,1,2,0,0,Kin terms,TD,1,77,12,R,M
34,C,C,1,3,0,0,Nouns,TD,1,77,12,R,M
34,C,G,1,4,0,0,Kin terms,TD,1,77,12,R,M
34,C,M,1,5,1,1,Nouns,TD,1,77,12,R,M
34,C,E,2,1,0,0,Kin terms,TD,1,77,12,R,M
34,C,G,2,2,0,0,Kin terms,TD,1,77,12,R,M
34,C,M,2,3,1,1,Nouns,TD,1,77,12,R,M
34,C,C,2,4,0,0,Kin terms,TD,1,77,12,R,M
34,C,B,2,5,0,0,Kin terms,TD,1,77,12,R,M
35,A,E,1,1,0,0,Kin terms,TD,1,74,20,R,M
35,A,G,1,2,0,0,Kin terms,TD,1,74,20,R,M
35,A,M,1,3,0,0,Kin terms,TD,1,74,20,R,M
35,A,C,1,4,1,1,Personal pronouns,TD,1,74,20,R,M
35,A,B,1,5,0,0,Kin terms,TD,1,74,20,R,M
35,A,C,2,1,0,0,Kin terms,TD,1,74,20,R,M
35,A,M,2,2,0,0,Kin terms,TD,1,74,20,R,M
35,A,E,2,3,0,0,Kin terms,TD,1,74,20,R,M
35,A,B,2,4,0,0,Kin terms,TD,1,74,20,R,M
35,A,G,2,5,0,0,Kin terms,TD,1,74,20,R,M
36,B,C,1,1,0,0,Kin terms,TD,1,81,23,R,M
36,B,M,1,2,0,0,Kin terms,TD,1,81,23,R,M
36,B,E,1,3,0,0,Kin terms,TD,1,81,23,R,M
36,B,B,1,4,0,0,Kin terms,TD,1,81,23,R,M
36,B,G,1,5,0,0,Kin terms,TD,1,81,23,R,M
36,B,B,2,1,0,0,Kin terms,TD,1,81,23,R,M
36,B,E,2,2,0,0,Kin terms,TD,1,81,23,R,M
36,B,C,2,3,0,0,Kin terms,TD,1,81,23,R,M
36,B,G,2,4,0,0,Kin terms,TD,1,81,23,R,M
36,B,M,2,5,1,1,Nouns,TD,1,81,23,R,M
37,C,B,1,1,1,1,Nouns,TD,1,76,26,R,M
37,C,E,1,2,1,1,Occu,TD,1,76,26,R,M
37,C,C,1,3,1,1,Personal pronouns,TD,1,76,26,R,M
37,C,G,1,4,1,1,Nouns,TD,1,76,26,R,M
37,C,M,1,5,1,1,Nouns,TD,1,76,26,R,M
37,C,E,2,1,1,1,Personal pronouns,TD,1,76,26,R,M
37,C,G,2,2,1,1,Nouns,TD,1,76,26,R,M
37,C,M,2,3,1,1,Nouns,TD,1,76,26,R,M
37,C,C,2,4,1,1,Personal pronouns,TD,1,76,26,R,M
37,C,B,2,5,1,1,Nouns,TD,1,76,26,R,M
38,A,E,1,1,0,0,Kin terms,TD,1,73,28,R,M
38,A,G,1,2,0,0,Kin terms,TD,1,73,28,R,M
38,A,M,1,3,0,0,Kin terms,TD,1,73,28,R,M
38,A,C,1,4,0,0,Kin terms,TD,1,73,28,R,M
38,A,B,1,5,0,0,Kin terms,TD,1,73,28,R,M
38,A,C,2,1,0,0,Kin terms,TD,1,73,28,R,M
38,A,M,2,2,0,0,Kin terms,TD,1,73,28,R,M
38,A,E,2,3,0,0,Kin terms,TD,1,73,28,R,M
38,A,B,2,4,0,0,Kin terms,TD,1,73,28,R,M
38,A,G,2,5,0,0,Kin terms,TD,1,73,28,R,M
39,B,C,1,1,1,1,Personal names,TD,1,79,29,R,M
39,B,M,1,2,1,1,Nouns,TD,1,79,29,R,M
39,B,E,1,3,1,1,Occu,TD,1,79,29,R,M
39,B,B,1,4,1,1,Nouns,TD,1,79,29,R,M
39,B,G,1,5,1,1,Nouns,TD,1,79,29,R,M
39,B,B,2,1,1,1,Nouns,TD,1,79,29,R,M
39,B,E,2,2,1,1,Occu,TD,1,79,29,R,M
39,B,C,2,3,1,1,Personal names,TD,1,79,29,R,M
39,B,G,2,4,1,1,Nouns,TD,1,79,29,R,M
39,B,M,2,5,1,1,Nouns,TD,1,79,29,R,M
40,C,B,1,1,0,0,Personal pronouns,TD,1,75,36,R,M
40,C,E,1,2,0,0,Personal pronouns,TD,1,75,36,R,M
40,C,C,1,3,1,1,Personal names,TD,1,75,36,R,M
40,C,G,1,4,0,0,Personal pronouns,TD,1,75,36,R,M
40,C,M,1,5,1,1,Nouns,TD,1,75,36,R,M
40,C,E,2,1,1,1,Kin terms,TD,1,75,36,R,M
40,C,G,2,2,0,0,Personal pronouns,TD,1,75,36,R,M
40,C,M,2,3,1,1,Nouns,TD,1,75,36,R,M
40,C,C,2,4,1,1,Personal names,TD,1,75,36,R,M
40,C,B,2,5,0,0,Personal pronouns,TD,1,75,36,R,M
41,A,E,1,1,1,1,Kin terms,TD,3,106,37,L,M
41,A,G,1,2,1,1,Nouns,TD,3,106,37,L,M
41,A,M,1,3,1,1,Nouns,TD,3,106,37,L,M
41,A,C,1,4,1,1,Personal pronouns,TD,3,106,37,L,M
41,A,B,1,5,1,1,Nouns,TD,3,106,37,L,M
41,A,C,2,1,1,1,Personal pronouns,TD,3,106,37,L,M
41,A,M,2,2,1,1,Nouns,TD,3,106,37,L,M
41,A,E,2,3,1,1,Kin terms,TD,3,106,37,L,M
41,A,B,2,4,1,1,Nouns,TD,3,106,37,L,M
41,A,G,2,5,1,1,Nouns,TD,3,106,37,L,M
42,B,C,1,1,1,1,Personal pronouns,TD,3,106,42,R,M
42,B,M,1,2,1,1,Nouns,TD,3,106,42,R,M
42,B,E,1,3,1,1,Kin terms,TD,3,106,42,R,M
42,B,B,1,4,1,1,Nouns,TD,3,106,42,R,M
42,B,G,1,5,1,1,Nouns,TD,3,106,42,R,M
42,B,B,2,1,1,1,Nouns,TD,3,106,42,R,M
42,B,E,2,2,1,1,Kin terms,TD,3,106,42,R,M
42,B,C,2,3,1,1,Personal pronouns,TD,3,106,42,R,M
42,B,G,2,4,1,1,Nouns,TD,3,106,42,R,M
42,B,M,2,5,1,1,Nouns,TD,3,106,42,R,M
43,B,C,1,1,1,1,Personal pronouns,TD,3,94,37,R,F
43,B,M,1,2,1,1,Nouns,TD,3,94,37,R,F
43,B,E,1,3,0,0,Nouns,TD,3,94,37,R,F
43,B,B,1,4,1,1,Nouns,TD,3,94,37,R,F
43,B,G,1,5,1,1,Nouns,TD,3,94,37,R,F
43,B,B,2,1,1,1,Nouns,TD,3,94,37,R,F
43,B,E,2,2,0,0,Nouns,TD,3,94,37,R,F
43,B,C,2,3,0,0,Nouns,TD,3,94,37,R,F
43,B,G,2,4,1,1,Nouns,TD,3,94,37,R,F
43,B,M,2,5,1,1,Nouns,TD,3,94,37,R,F
44,C,B,1,1,1,1,Nouns,TD,3,99,40,L,F
44,C,E,1,2,1,1,Occu,TD,3,99,40,L,F
44,C,C,1,3,1,1,Personal pronouns,TD,3,99,40,L,F
44,C,G,1,4,1,1,Nouns,TD,3,99,40,L,F
44,C,M,1,5,1,1,Nouns,TD,3,99,40,L,F
44,C,E,2,1,1,1,Kin terms,TD,3,99,40,L,F
44,C,G,2,2,1,1,Nouns,TD,3,99,40,L,F
44,C,M,2,3,1,1,Nouns,TD,3,99,40,L,F
44,C,C,2,4,1,1,Personal pronouns,TD,3,99,40,L,F
44,C,B,2,5,1,1,Nouns,TD,3,99,40,L,F
45,C,B,1,1,1,1,Nouns,TD,5,126,48,R,M
45,C,E,1,2,1,1,Occu,TD,5,126,48,R,M
45,C,C,1,3,1,1,Personal pronouns,TD,5,126,48,R,M
45,C,G,1,4,1,1,Nouns,TD,5,126,48,R,M
45,C,M,1,5,1,1,Nouns,TD,5,126,48,R,M
45,C,E,2,1,1,1,Occu,TD,5,126,48,R,M
45,C,G,2,2,1,1,Nouns,TD,5,126,48,R,M
45,C,M,2,3,1,1,Nouns,TD,5,126,48,R,M
45,C,C,2,4,1,1,Personal pronouns,TD,5,126,48,R,M
45,C,B,2,5,1,1,Nouns,TD,5,126,48,R,M
46,A,E,1,1,1,1,Occu,TD,5,119,29,R,M
46,A,G,1,2,1,1,Nouns,TD,5,119,29,R,M
46,A,M,1,3,1,1,Nouns,TD,5,119,29,R,M
46,A,C,1,4,1,1,Reflexive pronouns,TD,5,119,29,R,M
46,A,B,1,5,1,1,Nouns,TD,5,119,29,R,M
46,A,C,2,1,1,1,Reflexive pronouns,TD,5,119,29,R,M
46,A,M,2,2,1,1,Nouns,TD,5,119,29,R,M
46,A,E,2,3,1,1,Occu,TD,5,119,29,R,M
46,A,B,2,4,1,1,Nouns,TD,5,119,29,R,M
46,A,G,2,5,1,1,Nouns,TD,5,119,29,R,M
47,B,C,1,1,1,1,Personal pronouns,TD,5,133,37,R,M
47,B,M,1,2,1,1,Nouns,TD,5,133,37,R,M
47,B,E,1,3,1,1,Kin terms,TD,5,133,37,R,M
47,B,B,1,4,1,1,Nouns,TD,5,133,37,R,M
47,B,G,1,5,1,1,Nouns,TD,5,133,37,R,M
47,B,B,2,1,1,1,Nouns,TD,5,133,37,R,M
47,B,E,2,2,1,1,Kin terms,TD,5,133,37,R,M
47,B,C,2,3,1,1,Personal pronouns,TD,5,133,37,R,M
47,B,G,2,4,1,1,Nouns,TD,5,133,37,R,M
