Subj,Form,Item,Phase,Block,Word,Target,Person,Answer,Accuracy,Repeat,ParGroup,Age,Months,SSIQ,Gender,Grade
5,A,17,3,2,phi:,E,1,E,1,0,ASD,6.916666667,83,65.10478189,F,0
5,A,18,3,2,nu:,C,2,C,1,0,ASD,6.916666667,83,65.10478189,F,0
5,A,19,4,1,kha:,E,1,C,0,0,ASD,6.916666667,83,65.10478189,F,0
5,A,20,4,1,th7:,G,3,C,0,0,ASD,6.916666667,83,65.10478189,F,0
5,A,21,4,1,phi:,E,1,E,1,0,ASD,6.916666667,83,65.10478189,F,0
5,A,22,4,2,th7:,G,3,C,0,0,ASD,6.916666667,83,65.10478189,F,0
5,A,23,4,2,phi:,E,1,E,1,0,ASD,6.916666667,83,65.10478189,F,0
5,A,24,4,2,kha:,E,1,C,0,0,ASD,6.916666667,83,65.10478189,F,0
6,B,1,1,1,phi:,E,1,E,1,0,ASD,7.083333333,85,104.9778002,M,1
6,B,2,1,1,phom,C,2,C,1,0,ASD,7.083333333,85,104.9778002,M,1
6,B,3,1,1,th7:,G,3,B,0,0,ASD,7.083333333,85,104.9778002,M,1
6,B,4,1,2,phom,C,2,C,1,0,ASD,7.083333333,85,104.9778002,M,1
6,B,5,1,2,th7:,G,3,B,0,0,ASD,7.083333333,85,104.9778002,M,1
6,B,6,1,2,phi:,E,1,E,1,0,ASD,7.083333333,85,104.9778002,M,1
6,B,7,2,1,khun,C,2,C,1,0,ASD,7.083333333,85,104.9778002,M,1
6,B,8,2,1,kha:,E,1,B,0,0,ASD,7.083333333,85,104.9778002,M,1
6,B,9,2,1,khaw,B,3,G,0,0,ASD,7.083333333,85,104.9778002,M,1
6,B,10,2,2,kha:,E,1,E,1,0,ASD,7.083333333,85,104.9778002,M,1
6,B,11,2,2,khaw,B,3,G,0,0,ASD,7.083333333,85,104.9778002,M,1
6,B,12,2,2,khun,C,2,C,1,0,ASD,7.083333333,85,104.9778002,M,1
6,B,13,3,1,phi:,E,1,E,1,0,ASD,7.083333333,85,104.9778002,M,1
6,B,14,3,1,kha:,E,1,C,0,0,ASD,7.083333333,85,104.9778002,M,1
6,B,15,3,1,th7:,G,3,G,1,0,ASD,7.083333333,85,104.9778002,M,1
6,B,16,3,2,kha:,E,1,G,0,0,ASD,7.083333333,85,104.9778002,M,1
6,B,17,3,2,th7:,G,3,B,0,0,ASD,7.083333333,85,104.9778002,M,1
6,B,18,3,2,phi:,E,1,E,1,0,ASD,7.083333333,85,104.9778002,M,1
6,B,19,4,1,phom,C,2,G,0,0,ASD,7.083333333,85,104.9778002,M,1
6,B,20,4,1,khun,C,2,B,0,0,ASD,7.083333333,85,104.9778002,M,1
6,B,21,4,1,khaw,B,3,G,0,0,ASD,7.083333333,85,104.9778002,M,1
6,B,22,4,2,khun,C,2,C,1,0,ASD,7.083333333,85,104.9778002,M,1
6,B,23,4,2,khaw,B,3,B,1,0,ASD,7.083333333,85,104.9778002,M,1
6,B,24,4,2,phom,C,2,G,0,0,ASD,7.083333333,85,104.9778002,M,1
7,C,1,1,1,th7:,G,3,C,0,0,ASD,8.75,105,56.82757391,M,1
7,C,2,1,1,phi:,E,1,C,0,0,ASD,8.75,105,56.82757391,M,1
7,C,3,1,1,kha:,E,1,C,0,0,ASD,8.75,105,56.82757391,M,1
7,C,4,1,2,phi:,E,1,C,0,0,ASD,8.75,105,56.82757391,M,1
7,C,5,1,2,kha:,E,1,NA,0,0,ASD,8.75,105,56.82757391,M,1
7,C,6,1,2,th7:,G,3,NA,0,0,ASD,8.75,105,56.82757391,M,1
7,C,7,2,1,th7:,G,3,NA,0,0,ASD,8.75,105,56.82757391,M,1
7,C,8,2,1,phi:,E,1,NA,0,0,ASD,8.75,105,56.82757391,M,1
7,C,9,2,1,phom,C,2,NA,0,0,ASD,8.75,105,56.82757391,M,1
7,C,10,2,2,phi:,E,1,B,0,0,ASD,8.75,105,56.82757391,M,1
7,C,11,2,2,phom,C,2,B,0,0,ASD,8.75,105,56.82757391,M,1
7,C,12,2,2,th7:,G,3,B,0,0,ASD,8.75,105,56.82757391,M,1
7,C,13,3,1,khaw,B,3,B,1,0,ASD,8.75,105,56.82757391,M,1
7,C,14,3,1,phom,C,2,C,1,0,ASD,8.75,105,56.82757391,M,1
7,C,15,3,1,khun,C,2,C,1,0,ASD,8.75,105,56.82757391,M,1
7,C,16,3,2,phom,C,2,B,0,0,ASD,8.75,105,56.82757391,M,1
7,C,17,3,2,khun,C,2,B,0,0,ASD,8.75,105,56.82757391,M,1
7,C,18,3,2,khaw,B,3,B,1,0,ASD,8.75,105,56.82757391,M,1
7,C,19,4,1,khaw,B,3,B,1,0,ASD,8.75,105,56.82757391,M,1
7,C,20,4,1,khun,C,2,B,0,0,ASD,8.75,105,56.82757391,M,1
7,C,21,4,1,kha:,E,1,B,0,0,ASD,8.75,105,56.82757391,M,1
7,C,22,4,2,khun,C,2,B,0,0,ASD,8.75,105,56.82757391,M,1
7,C,23,4,2,kha:,E,1,B,0,0,ASD,8.75,105,56.82757391,M,1
7,C,24,4,2,khaw,B,3,G,0,0,ASD,8.75,105,56.82757391,M,1
8,A,1,1,1,kha:,E,1,E,1,0,ASD,9.083333333,109,86.26952368,M,2
8,A,2,1,1,khaw,B,3,G,0,0,ASD,9.083333333,109,86.26952368,M,2
8,A,3,1,1,khun,C,2,C,1,0,ASD,9.083333333,109,86.26952368,M,2
8,A,4,1,2,khaw,B,3,B,1,0,ASD,9.083333333,109,86.26952368,M,2
8,A,5,1,2,khun,C,2,C,1,0,ASD,9.083333333,109,86.26952368,M,2
8,A,6,1,2,kha:,E,1,E,1,0,ASD,9.083333333,109,86.26952368,M,2
8,A,7,2,1,khun,C,2,C,1,0,ASD,9.083333333,109,86.26952368,M,2
8,A,8,2,1,khaw,B,3,B,1,0,ASD,9.083333333,109,86.26952368,M,2
8,A,9,2,1,phom,C,2,C,1,0,ASD,9.083333333,109,86.26952368,M,2
8,A,10,2,2,khaw,B,3,E,0,0,ASD,9.083333333,109,86.26952368,M,2
8,A,11,2,2,phom,C,2,C,1,0,ASD,9.083333333,109,86.26952368,M,2
8,A,12,2,2,khun,C,2,B,0,0,ASD,9.083333333,109,86.26952368,M,2
8,A,13,3,1,phom,C,2,C,1,0,ASD,9.083333333,109,86.26952368,M,2
8,A,14,3,1,th7:,G,3,G,1,0,ASD,9.083333333,109,86.26952368,M,2
8,A,15,3,1,phi:,E,1,C,0,0,ASD,9.083333333,109,86.26952368,M,2
8,A,16,3,2,th7:,G,3,C,0,0,ASD,9.083333333,109,86.26952368,M,2
8,A,17,3,2,phi:,E,1,E,1,0,ASD,9.083333333,109,86.26952368,M,2
8,A,18,3,2,phom,C,2,C,1,0,ASD,9.083333333,109,86.26952368,M,2
8,A,19,4,1,kha:,E,1,E,1,0,ASD,9.083333333,109,86.26952368,M,2
8,A,20,4,1,th7:,G,3,C,0,0,ASD,9.083333333,109,86.26952368,M,2
8,A,21,4,1,phi:,E,1,E,1,0,ASD,9.083333333,109,86.26952368,M,2
8,A,22,4,2,th7:,G,3,E,0,0,ASD,9.083333333,109,86.26952368,M,2
8,A,23,4,2,phi:,E,1,E,1,0,ASD,9.083333333,109,86.26952368,M,2
8,A,24,4,2,kha:,E,1,C,0,0,ASD,9.083333333,109,86.26952368,M,2
9,B,1,1,1,phi:,E,1,E,1,3,ASD,9.083333333,109,83.10413306,M,2
9,B,2,1,1,phom,C,2,NA,0,0,ASD,9.083333333,109,83.10413306,M,2
9,B,3,1,1,th7:,G,3,NA,0,0,ASD,9.083333333,109,83.10413306,M,2
9,B,4,1,2,phom,C,2,C,1,0,ASD,9.083333333,109,83.10413306,M,2
9,B,5,1,2,th7:,G,3,C,0,0,ASD,9.083333333,109,83.10413306,M,2
9,B,6,1,2,phi:,E,1,C,0,0,ASD,9.083333333,109,83.10413306,M,2
9,B,7,2,1,khun,C,2,E,0,0,ASD,9.083333333,109,83.10413306,M,2
9,B,8,2,1,kha:,E,1,C,0,1,ASD,9.083333333,109,83.10413306,M,2
9,B,9,2,1,khaw,B,3,C,0,0,ASD,9.083333333,109,83.10413306,M,2
9,B,10,2,2,kha:,E,1,C,0,0,ASD,9.083333333,109,83.10413306,M,2
9,B,11,2,2,khaw,B,3,C,0,4,ASD,9.083333333,109,83.10413306,M,2
9,B,12,2,2,khun,C,2,E,0,0,ASD,9.083333333,109,83.10413306,M,2
9,B,13,3,1,phi:,E,1,E,1,0,ASD,9.083333333,109,83.10413306,M,2
9,B,14,3,1,kha:,E,1,E,1,0,ASD,9.083333333,109,83.10413306,M,2
9,B,15,3,1,th7:,G,3,C,0,0,ASD,9.083333333,109,83.10413306,M,2
9,B,16,3,2,kha:,E,1,NA,0,5,ASD,9.083333333,109,83.10413306,M,2
9,B,17,3,2,th7:,G,3,C,0,0,ASD,9.083333333,109,83.10413306,M,2
9,B,18,3,2,phi:,E,1,C,0,0,ASD,9.083333333,109,83.10413306,M,2
9,B,19,4,1,phom,C,2,C,1,0,ASD,9.083333333,109,83.10413306,M,2
9,B,20,4,1,khun,C,2,C,1,0,ASD,9.083333333,109,83.10413306,M,2
9,B,21,4,1,khaw,B,3,C,0,0,ASD,9.083333333,109,83.10413306,M,2
9,B,22,4,2,khun,C,2,C,1,0,ASD,9.083333333,109,83.10413306,M,2
9,B,23,4,2,khaw,B,3,C,0,0,ASD,9.083333333,109,83.10413306,M,2
9,B,24,4,2,phom,C,2,NA,0,5,ASD,9.083333333,109,83.10413306,M,2
10,C,1,1,1,th7:,G,3,C,0,0,ASD,7.666666667,92,95.81021448,M,1
10,C,2,1,1,phi:,E,1,E,1,0,ASD,7.666666667,92,95.81021448,M,1
10,C,3,1,1,kha:,E,1,B,0,1,ASD,7.666666667,92,95.81021448,M,1
10,C,4,1,2,phi:,E,1,E,1,0,ASD,7.666666667,92,95.81021448,M,1
10,C,5,1,2,kha:,E,1,B,0,0,ASD,7.666666667,92,95.81021448,M,1
10,C,6,1,2,th7:,G,3,C,0,0,ASD,7.666666667,92,95.81021448,M,1
10,C,7,2,1,th7:,G,3,C,0,0,ASD,7.666666667,92,95.81021448,M,1
10,C,8,2,1,phi:,E,1,E,1,0,ASD,7.666666667,92,95.81021448,M,1
10,C,9,2,1,phom,C,2,B,0,0,ASD,7.666666667,92,95.81021448,M,1
10,C,10,2,2,phi:,E,1,E,1,0,ASD,7.666666667,92,95.81021448,M,1
10,C,11,2,2,phom,C,2,C,1,0,ASD,7.666666667,92,95.81021448,M,1
10,C,12,2,2,th7:,G,3,B,0,0,ASD,7.666666667,92,95.81021448,M,1
10,C,13,3,1,khaw,B,3,C,0,0,ASD,7.666666667,92,95.81021448,M,1
10,C,14,3,1,phom,C,2,C,1,0,ASD,7.666666667,92,95.81021448,M,1
10,C,15,3,1,khun,C,2,B,0,0,ASD,7.666666667,92,95.81021448,M,1
10,C,16,3,2,phom,C,2,C,1,0,ASD,7.666666667,92,95.81021448,M,1
10,C,17,3,2,khun,C,2,B,0,0,ASD,7.666666667,92,95.81021448,M,1
10,C,18,3,2,khaw,B,3,E,0,0,ASD,7.666666667,92,95.81021448,M,1
10,C,19,4,1,khaw,B,3,E,0,0,ASD,7.666666667,92,95.81021448,M,1
10,C,20,4,1,khun,C,2,B,0,0,ASD,7.666666667,92,95.81021448,M,1
10,C,21,4,1,kha:,E,1,C,0,0,ASD,7.666666667,92,95.81021448,M,1
10,C,22,4,2,khun,C,2,E,0,0,ASD,7.666666667,92,95.81021448,M,1
10,C,23,4,2,kha:,E,1,C,0,0,ASD,7.666666667,92,95.81021448,M,1
10,C,24,4,2,khaw,B,3,B,1,0,ASD,7.666666667,92,95.81021448,M,1
11,A,1,1,1,kha:,E,1,C,0,0,ASD,7.166666667,86,123.3216039,M,1
11,A,2,1,1,khaw,B,3,B,1,0,ASD,7.166666667,86,123.3216039,M,1
11,A,3,1,1,khun,C,2,C,1,0,ASD,7.166666667,86,123.3216039,M,1
11,A,4,1,2,khaw,B,3,E,0,0,ASD,7.166666667,86,123.3216039,M,1
11,A,5,1,2,khun,C,2,C,1,0,ASD,7.166666667,86,123.3216039,M,1
11,A,6,1,2,kha:,E,1,B,0,0,ASD,7.166666667,86,123.3216039,M,1
11,A,7,2,1,khun,C,2,C,1,0,ASD,7.166666667,86,123.3216039,M,1
11,A,8,2,1,khaw,B,3,G,0,0,ASD,7.166666667,86,123.3216039,M,1
11,A,9,2,1,phom,C,2,C,1,0,ASD,7.166666667,86,123.3216039,M,1
11,A,10,2,2,khaw,B,3,E,0,0,ASD,7.166666667,86,123.3216039,M,1
11,A,11,2,2,phom,C,2,C,1,0,ASD,7.166666667,86,123.3216039,M,1
11,A,12,2,2,khun,C,2,B,0,0,ASD,7.166666667,86,123.3216039,M,1
11,A,13,3,1,phom,C,2,C,1,0,ASD,7.166666667,86,123.3216039,M,1
11,A,14,3,1,th7:,G,3,E,0,0,ASD,7.166666667,86,123.3216039,M,1
11,A,15,3,1,phi:,E,1,B,0,0,ASD,7.166666667,86,123.3216039,M,1
11,A,16,3,2,th7:,G,3,E,0,0,ASD,7.166666667,86,123.3216039,M,1
11,A,17,3,2,phi:,E,1,C,0,0,ASD,7.166666667,86,123.3216039,M,1
11,A,18,3,2,phom,C,2,C,1,0,ASD,7.166666667,86,123.3216039,M,1
11,A,19,4,1,kha:,E,1,E,1,0,ASD,7.166666667,86,123.3216039,M,1
11,A,20,4,1,th7:,G,3,C,0,0,ASD,7.166666667,86,123.3216039,M,1
11,A,21,4,1,phi:,E,1,B,0,0,ASD,7.166666667,86,123.3216039,M,1
11,A,22,4,2,th7:,G,3,E,0,0,ASD,7.166666667,86,123.3216039,M,1
11,A,23,4,2,phi:,E,1,C,0,0,ASD,7.166666667,86,123.3216039,M,1
11,A,24,4,2,kha:,E,1,B,0,0,ASD,7.166666667,86,123.3216039,M,1
12,B,1,1,1,phi:,E,1,B,0,0,ASD,12.66666667,152,71.78809588,M,5
12,B,2,1,1,phom,C,2,C,1,0,ASD,12.66666667,152,71.78809588,M,5
12,B,3,1,1,th7:,G,3,G,1,0,ASD,12.66666667,152,71.78809588,M,5
12,B,4,1,2,phom,C,2,C,1,0,ASD,12.66666667,152,71.78809588,M,5
12,B,5,1,2,th7:,G,3,G,1,0,ASD,12.66666667,152,71.78809588,M,5
12,B,6,1,2,phi:,E,1,E,1,0,ASD,12.66666667,152,71.78809588,M,5
12,B,7,2,1,khun,C,2,C,1,0,ASD,12.66666667,152,71.78809588,M,5
12,B,8,2,1,kha:,E,1,B,0,1,ASD,12.66666667,152,71.78809588,M,5
12,B,9,2,1,khaw,B,3,G,0,0,ASD,12.66666667,152,71.78809588,M,5
12,B,10,2,2,kha:,E,1,C,0,0,ASD,12.66666667,152,71.78809588,M,5
12,B,11,2,2,khaw,B,3,B,1,0,ASD,12.66666667,152,71.78809588,M,5
12,B,12,2,2,khun,C,2,C,1,0,ASD,12.66666667,152,71.78809588,M,5
12,B,13,3,1,phi:,E,1,E,1,0,ASD,12.66666667,152,71.78809588,M,5
12,B,14,3,1,kha:,E,1,C,0,0,ASD,12.66666667,152,71.78809588,M,5
12,B,15,3,1,th7:,G,3,B,0,0,ASD,12.66666667,152,71.78809588,M,5
12,B,16,3,2,kha:,E,1,C,0,0,ASD,12.66666667,152,71.78809588,M,5
12,B,17,3,2,th7:,G,3,E,0,0,ASD,12.66666667,152,71.78809588,M,5
12,B,18,3,2,phi:,E,1,E,1,0,ASD,12.66666667,152,71.78809588,M,5
12,B,19,4,1,phom,C,2,C,1,0,ASD,12.66666667,152,71.78809588,M,5
12,B,20,4,1,khun,C,2,B,0,0,ASD,12.66666667,152,71.78809588,M,5
12,B,21,4,1,khaw,B,3,G,0,0,ASD,12.66666667,152,71.78809588,M,5
12,B,22,4,2,khun,C,2,C,1,0,ASD,12.66666667,152,71.78809588,M,5
12,B,23,4,2,khaw,B,3,B,1,0,ASD,12.66666667,152,71.78809588,M,5
12,B,24,4,2,phom,C,2,B,0,0,ASD,12.66666667,152,71.78809588,M,5
13,C,1,1,1,th7:,G,3,B,0,0,ASD,12.33333333,148,53.64651541,M,5
13,C,2,1,1,phi:,E,1,C,0,0,ASD,12.33333333,148,53.64651541,M,5
13,C,3,1,1,kha:,E,1,B,0,0,ASD,12.33333333,148,53.64651541,M,5
13,C,4,1,2,phi:,E,1,C,0,0,ASD,12.33333333,148,53.64651541,M,5
13,C,5,1,2,kha:,E,1,B,0,0,ASD,12.33333333,148,53.64651541,M,5
13,C,6,1,2,th7:,G,3,C,0,0,ASD,12.33333333,148,53.64651541,M,5
13,C,7,2,1,th7:,G,3,G,1,0,ASD,12.33333333,148,53.64651541,M,5
13,C,8,2,1,phi:,E,1,C,0,0,ASD,12.33333333,148,53.64651541,M,5
13,C,9,2,1,phom,C,2,E,0,0,ASD,12.33333333,148,53.64651541,M,5
13,C,10,2,2,phi:,E,1,C,0,0,ASD,12.33333333,148,53.64651541,M,5
13,C,11,2,2,phom,C,2,E,0,0,ASD,12.33333333,148,53.64651541,M,5
13,C,12,2,2,th7:,G,3,C,0,0,ASD,12.33333333,148,53.64651541,M,5
13,C,13,3,1,khaw,B,3,E,0,0,ASD,12.33333333,148,53.64651541,M,5
13,C,14,3,1,phom,C,2,E,0,0,ASD,12.33333333,148,53.64651541,M,5
13,C,15,3,1,khun,C,2,C,1,0,ASD,12.33333333,148,53.64651541,M,5
13,C,16,3,2,phom,C,2,C,1,0,ASD,12.33333333,148,53.64651541,M,5
13,C,17,3,2,khun,C,2,C,1,0,ASD,12.33333333,148,53.64651541,M,5
13,C,18,3,2,khaw,B,3,G,0,0,ASD,12.33333333,148,53.64651541,M,5
13,C,19,4,1,khaw,B,3,B,1,0,ASD,12.33333333,148,53.64651541,M,5
13,C,20,4,1,khun,C,2,C,1,0,ASD,12.33333333,148,53.64651541,M,5
13,C,21,4,1,kha:,E,1,E,1,0,ASD,12.33333333,148,53.64651541,M,5
13,C,22,4,2,khun,C,2,C,1,0,ASD,12.33333333,148,53.64651541,M,5
13,C,23,4,2,kha:,E,1,E,1,0,ASD,12.33333333,148,53.64651541,M,5
13,C,24,4,2,khaw,B,3,G,0,0,ASD,12.33333333,148,53.64651541,M,5
14,A,1,1,1,kha:,E,1,C,0,0,ASD,10.16666667,122,76.67839608,M,3
14,A,2,1,1,khaw,B,3,B,1,0,ASD,10.16666667,122,76.67839608,M,3
14,A,3,1,1,khun,C,2,C,1,0,ASD,10.16666667,122,76.67839608,M,3
14,A,4,1,2,khaw,B,3,B,1,0,ASD,10.16666667,122,76.67839608,M,3
14,A,5,1,2,khun,C,2,C,1,0,ASD,10.16666667,122,76.67839608,M,3
14,A,6,1,2,kha:,E,1,G,0,0,ASD,10.16666667,122,76.67839608,M,3
14,A,7,2,1,khun,C,2,C,1,0,ASD,10.16666667,122,76.67839608,M,3
14,A,8,2,1,khaw,B,3,B,1,0,ASD,10.16666667,122,76.67839608,M,3
14,A,9,2,1,phom,C,2,C,1,0,ASD,10.16666667,122,76.67839608,M,3
14,A,10,2,2,khaw,B,3,C,0,0,ASD,10.16666667,122,76.67839608,M,3
14,A,11,2,2,phom,C,2,C,1,0,ASD,10.16666667,122,76.67839608,M,3
14,A,12,2,2,khun,C,2,C,1,0,ASD,10.16666667,122,76.67839608,M,3
14,A,13,3,1,phom,C,2,C,1,0,ASD,10.16666667,122,76.67839608,M,3
14,A,14,3,1,th7:,G,3,G,1,0,ASD,10.16666667,122,76.67839608,M,3
14,A,15,3,1,phi:,E,1,E,1,0,ASD,10.16666667,122,76.67839608,M,3
14,A,16,3,2,th7:,G,3,B,0,0,ASD,10.16666667,122,76.67839608,M,3
14,A,17,3,2,phi:,E,1,E,1,0,ASD,10.16666667,122,76.67839608,M,3
14,A,18,3,2,phom,C,2,C,1,0,ASD,10.16666667,122,76.67839608,M,3
