ID,Set,Condition,Phase,Session,Response
hammock,4,1,Pre,3,0
hammock,4,1,Pre,4,0
hammock,4,1,Pre,5,0
hammock,4,1,Pre,6,0
hammock,4,1,Pre,7,0
hammock,4,1,Tx,8,1
hammock,4,1,Tx,9,1
hammock,4,1,Tx,10,0
hammock,4,1,Post,11,0
hammock,4,1,Post,12,1
hammock,4,1,ThreeMo,13,0
hammock,4,1,SixMo,14,0
hammock,4,1,TwelveMo,15,0
microwave,4,1,Pre,1,0
microwave,4,1,Pre,2,0
microwave,4,1,Pre,3,0
microwave,4,1,Pre,4,0
microwave,4,1,Pre,5,0
microwave,4,1,Pre,6,0
microwave,4,1,Pre,7,0
microwave,4,1,Tx,8,1
microwave,4,1,Tx,9,1
microwave,4,1,Tx,10,1
microwave,4,1,Post,11,1
microwave,4,1,Post,12,1
microwave,4,1,ThreeMo,13,1
microwave,4,1,SixMo,14,0
microwave,4,1,TwelveMo,15,0
pancakes,4,1,Pre,1,0
pancakes,4,1,Pre,2,0
pancakes,4,1,Pre,3,0
pancakes,4,1,Pre,4,0
pancakes,4,1,Pre,5,0
pancakes,4,1,Pre,6,0
pancakes,4,1,Pre,7,0
pancakes,4,1,Tx,8,1
pancakes,4,1,Tx,9,1
pancakes,4,1,Tx,10,1
pancakes,4,1,Post,11,1
pancakes,4,1,Post,12,1
pancakes,4,1,ThreeMo,13,0
pancakes,4,1,SixMo,14,1
pancakes,4,1,TwelveMo,15,0
saddle,4,1,Pre,1,0
saddle,4,1,Pre,2,0
saddle,4,1,Pre,3,0
saddle,4,1,Pre,4,1
saddle,4,1,Pre,5,0
saddle,4,1,Pre,6,1
saddle,4,1,Pre,7,1
saddle,4,1,Tx,8,1
saddle,4,1,Tx,9,1
saddle,4,1,Tx,10,1
saddle,4,1,Post,11,1
saddle,4,1,Post,12,1
saddle,4,1,ThreeMo,13,1
saddle,4,1,SixMo,14,1
saddle,4,1,TwelveMo,15,0
zebra,4,1,Pre,1,0
zebra,4,1,Pre,2,0
zebra,4,1,Pre,3,0
zebra,4,1,Pre,4,0
zebra,4,1,Pre,5,0
zebra,4,1,Pre,6,0
zebra,4,1,Pre,7,0
zebra,4,1,Tx,8,1
zebra,4,1,Tx,9,1
zebra,4,1,Tx,10,1
zebra,4,1,Post,11,1
zebra,4,1,Post,12,1
zebra,4,1,ThreeMo,13,0
zebra,4,1,SixMo,14,1
zebra,4,1,TwelveMo,15,0
cookies,4,1,Pre,1,0
cookies,4,1,Pre,2,1
cookies,4,1,Pre,3,0
cookies,4,1,Pre,4,1
cookies,4,1,Pre,5,1
cookies,4,1,Pre,6,1
cookies,4,1,Pre,7,1
cookies,4,1,Tx,8,1
cookies,4,1,Tx,9,1
cookies,4,1,Tx,10,0
cookies,4,1,Post,11,1
cookies,4,1,Post,12,1
cookies,4,1,ThreeMo,13,1
cookies,4,1,SixMo,14,1
cookies,4,1,TwelveMo,15,0
cactus,5,1,Pre,1,0
cactus,5,1,Pre,2,0
cactus,5,1,Pre,3,0
cactus,5,1,Pre,4,0
cactus,5,1,Pre,5,0
cactus,5,1,Pre,6,0
cactus,5,1,Pre,7,0
cactus,5,1,Pre,8,0
cactus,5,1,Tx,9,1
cactus,5,1,Tx,10,1
cactus,5,1,Post,11,0
cactus,5,1,Post,12,0
cactus,5,1,ThreeMo,13,0
cactus,5,1,SixMo,14,0
cactus,5,1,TwelveMo,15,0
duck,5,1,Pre,1,0
duck,5,1,Pre,2,1
duck,5,1,Pre,3,0
duck,5,1,Pre,4,0
duck,5,1,Pre,5,1
duck,5,1,Pre,6,1
duck,5,1,Pre,7,1
duck,5,1,Pre,8,1
duck,5,1,Tx,9,1
duck,5,1,Tx,10,1
duck,5,1,Post,11,1
duck,5,1,Post,12,1
duck,5,1,ThreeMo,13,0
duck,5,1,SixMo,14,0
duck,5,1,TwelveMo,15,0
hanger,5,1,Pre,1,0
hanger,5,1,Pre,2,1
hanger,5,1,Pre,3,0
hanger,5,1,Pre,4,0
hanger,5,1,Pre,5,1
hanger,5,1,Pre,6,1
hanger,5,1,Pre,7,1
hanger,5,1,Pre,8,0
hanger,5,1,Tx,9,1
hanger,5,1,Tx,10,1
hanger,5,1,Post,11,1
hanger,5,1,Post,12,1
hanger,5,1,ThreeMo,13,1
hanger,5,1,SixMo,14,1
hanger,5,1,TwelveMo,15,0
kangaroo,5,1,Pre,1,0
kangaroo,5,1,Pre,2,0
kangaroo,5,1,Pre,3,0
kangaroo,5,1,Pre,4,0
kangaroo,5,1,Pre,5,0
kangaroo,5,1,Pre,6,0
kangaroo,5,1,Pre,7,0
kangaroo,5,1,Pre,8,0
kangaroo,5,1,Tx,9,0
kangaroo,5,1,Tx,10,1
kangaroo,5,1,Post,11,0
kangaroo,5,1,Post,12,0
kangaroo,5,1,ThreeMo,13,0
kangaroo,5,1,SixMo,14,0
kangaroo,5,1,TwelveMo,15,0
lobster,5,1,Pre,1,0
lobster,5,1,Pre,2,0
lobster,5,1,Pre,3,0
lobster,5,1,Pre,4,0
lobster,5,1,Pre,5,0
lobster,5,1,Pre,6,0
lobster,5,1,Pre,7,0
lobster,5,1,Pre,8,0
lobster,5,1,Tx,9,1
lobster,5,1,Tx,10,1
lobster,5,1,Post,11,1
lobster,5,1,Post,12,0
lobster,5,1,ThreeMo,13,0
lobster,5,1,SixMo,14,0
lobster,5,1,TwelveMo,15,0
axe,5,1,Pre,1,0
axe,5,1,Pre,2,0
axe,5,1,Pre,3,0
axe,5,1,Pre,4,0
axe,5,1,Pre,5,0
axe,5,1,Pre,6,0
axe,5,1,Pre,7,0
axe,5,1,Pre,8,0
axe,5,1,Tx,9,1
axe,5,1,Tx,10,1
axe,5,1,Post,11,1
axe,5,1,Post,12,1
axe,5,1,ThreeMo,13,1
axe,5,1,SixMo,14,1
axe,5,1,TwelveMo,15,0
soup,5,1,Pre,1,0
soup,5,1,Pre,2,0
soup,5,1,Pre,3,0
soup,5,1,Pre,4,0
soup,5,1,Pre,5,0
soup,5,1,Pre,6,0
soup,5,1,Pre,7,0
soup,5,1,Pre,8,1
soup,5,1,Tx,9,1
soup,5,1,Tx,10,1
soup,5,1,Post,11,1
soup,5,1,Post,12,1
soup,5,1,ThreeMo,13,1
soup,5,1,SixMo,14,1
soup,5,1,TwelveMo,15,0
dove,5,1,Pre,1,1
dove,5,1,Pre,2,0
dove,5,1,Pre,3,0
dove,5,1,Pre,4,1
dove,5,1,Pre,5,0
dove,5,1,Pre,6,0
dove,5,1,Pre,7,0
dove,5,1,Pre,8,1
dove,5,1,Tx,9,0
dove,5,1,Tx,10,1
dove,5,1,Post,11,0
dove,5,1,Post,12,1
dove,5,1,ThreeMo,13,1
dove,5,1,SixMo,14,1
dove,5,1,TwelveMo,15,0
drill,5,1,Pre,1,1
drill,5,1,Pre,2,0
drill,5,1,Pre,3,0
drill,5,1,Pre,4,0
drill,5,1,Pre,5,1
drill,5,1,Pre,6,1
drill,5,1,Pre,7,1
drill,5,1,Pre,8,1
drill,5,1,Tx,9,1
drill,5,1,Tx,10,1
drill,5,1,Post,11,1
drill,5,1,Post,12,1
drill,5,1,ThreeMo,13,1
drill,5,1,SixMo,14,1
drill,5,1,TwelveMo,15,1
squeeze shoot,5,1,Pre,1,0
squeeze shoot,5,1,Pre,2,0
squeeze shoot,5,1,Pre,3,1
squeeze shoot,5,1,Pre,4,0
squeeze shoot,5,1,Pre,5,0
squeeze shoot,5,1,Pre,6,0
squeeze shoot,5,1,Pre,7,1
squeeze shoot,5,1,Pre,8,1
squeeze shoot,5,1,Tx,9,1
squeeze shoot,5,1,Tx,10,1
squeeze shoot,5,1,Post,11,1
squeeze shoot,5,1,Post,12,1
squeeze shoot,5,1,ThreeMo,13,1
squeeze shoot,5,1,SixMo,14,1
squeeze shoot,5,1,TwelveMo,15,1
calculator,6,1,Pre,1,0
calculator,6,1,Pre,2,0
calculator,6,1,Pre,3,1
calculator,6,1,Pre,4,0
calculator,6,1,Pre,5,0
calculator,6,1,Pre,6,0
calculator,6,1,Pre,7,1
calculator,6,1,Pre,8,0
calculator,6,1,Pre,9,0
calculator,6,1,Tx,10,1
calculator,6,1,Post,11,1
calculator,6,1,Post,12,1
calculator,6,1,ThreeMo,13,1
calculator,6,1,SixMo,14,1
calculator,6,1,TwelveMo,15,1
envelope,6,1,Pre,1,0
envelope,6,1,Pre,2,0
envelope,6,1,Pre,3,1
envelope,6,1,Pre,4,1
envelope,6,1,Pre,5,1
envelope,6,1,Pre,6,1
envelope,6,1,Pre,7,1
envelope,6,1,Pre,8,1
envelope,6,1,Pre,9,1
envelope,6,1,Tx,10,1
envelope,6,1,Post,11,1
envelope,6,1,Post,12,1
envelope,6,1,ThreeMo,13,1
envelope,6,1,SixMo,14,1
envelope,6,1,TwelveMo,15,1
helmet,6,1,Pre,1,0
helmet,6,1,Pre,2,0
helmet,6,1,Pre,3,0
helmet,6,1,Pre,4,1
helmet,6,1,Pre,5,1
helmet,6,1,Pre,6,1
helmet,6,1,Pre,7,1
helmet,6,1,Pre,8,1
helmet,6,1,Pre,9,1
helmet,6,1,Tx,10,1
helmet,6,1,Post,11,1
helmet,6,1,Post,12,1
helmet,6,1,ThreeMo,13,0
helmet,6,1,SixMo,14,1
helmet,6,1,TwelveMo,15,0
jalapenos,6,1,Pre,1,0
jalapenos,6,1,Pre,2,0
jalapenos,6,1,Pre,3,0
jalapenos,6,1,Pre,4,0
jalapenos,6,1,Pre,5,0
jalapenos,6,1,Pre,6,0
jalapenos,6,1,Pre,7,0
jalapenos,6,1,Pre,8,0
jalapenos,6,1,Pre,9,0
jalapenos,6,1,Tx,10,1
jalapenos,6,1,Post,11,1
jalapenos,6,1,Post,12,1
jalapenos,6,1,ThreeMo,13,1
jalapenos,6,1,SixMo,14,0
jalapenos,6,1,TwelveMo,15,0
mouse,6,1,Pre,1,0
mouse,6,1,Pre,2,0
mouse,6,1,Pre,3,0
mouse,6,1,Pre,4,0
mouse,6,1,Pre,5,0
mouse,6,1,Pre,6,0
mouse,6,1,Pre,7,0
mouse,6,1,Pre,8,0
mouse,6,1,Pre,9,0
mouse,6,1,Tx,10,1
mouse,6,1,Post,11,1
mouse,6,1,Post,12,1
mouse,6,1,ThreeMo,13,0
mouse,6,1,SixMo,14,0
mouse,6,1,TwelveMo,15,0
okra,6,1,Pre,1,0
okra,6,1,Pre,2,0
okra,6,1,Pre,3,0
okra,6,1,Pre,4,0
okra,6,1,Pre,5,0
okra,6,1,Pre,6,0
okra,6,1,Pre,7,1
okra,6,1,Pre,8,0
okra,6,1,Pre,9,0
okra,6,1,Tx,10,1
okra,6,1,Post,11,1
okra,6,1,Post,12,1
okra,6,1,ThreeMo,13,0
okra,6,1,SixMo,14,0
okra,6,1,TwelveMo,15,0
penguin,6,1,Pre,1,0
penguin,6,1,Pre,2,0
penguin,6,1,Pre,3,0
penguin,6,1,Pre,4,0
penguin,6,1,Pre,5,0
penguin,6,1,Pre,6,0
penguin,6,1,Pre,7,0
penguin,6,1,Pre,8,0
penguin,6,1,Pre,9,0
penguin,6,1,Tx,10,1
penguin,6,1,Post,11,0
penguin,6,1,Post,12,1
penguin,6,1,ThreeMo,13,0
penguin,6,1,SixMo,14,0
penguin,6,1,TwelveMo,15,0
